Sex,,,,
Year / Moving 3-month period,Age group,Median monthly employment earnings of employed male,Median monthly employment earnings of employed female,Median monthly employment earnings of employed both sexes
2023,15 - 24,15100,14400,15000
2023,25 - 34,23000,20000,20500
2023,35 - 44,27700,17200,21900
2023,45 - 54,25500,16000,20000
2023,55 - 59,22000,15500,19400
2023,60 and over,17000,12600,15000
2023,15 and over,22700,16200,20000
11/2022 - 1/2023,15 - 24,14500,14100,14300
11/2022 - 1/2023,25 - 34,22600,18800,20000
11/2022 - 1/2023,35 - 44,27500,16000,20500
11/2022 - 1/2023,45 - 54,25000,16000,20000
11/2022 - 1/2023,55 - 59,21000,15000,19000
11/2022 - 1/2023,60 and over,16600,12000,15000
11/2022 - 1/2023,15 and over,22000,16000,20000
12/2022 - 2/2023,15 - 24,15000,14100,14500
12/2022 - 2/2023,25 - 34,23000,19000,20000
12/2022 - 2/2023,35 - 44,28000,16000,21000
12/2022 - 2/2023,45 - 54,26000,16000,20000
12/2022 - 2/2023,55 - 59,21200,15100,19000
12/2022 - 2/2023,60 and over,16700,12000,15000
12/2022 - 2/2023,15 and over,22300,16000,20000
1/2023 - 3/2023,15 - 24,15000,14000,14500
1/2023 - 3/2023,25 - 34,22500,20000,20000
1/2023 - 3/2023,35 - 44,28300,16700,21500
1/2023 - 3/2023,45 - 54,26600,16000,20000
1/2023 - 3/2023,55 - 59,22000,15500,19000
1/2023 - 3/2023,60 and over,16500,12500,15000
1/2023 - 3/2023,15 and over,23000,16000,20000
2/2023 - 4/2023,15 - 24,15500,14000,15000
2/2023 - 4/2023,25 - 34,22200,19800,20000
2/2023 - 4/2023,35 - 44,28000,16700,21500
2/2023 - 4/2023,45 - 54,26000,16000,20000
2/2023 - 4/2023,55 - 59,22500,15000,19000
2/2023 - 4/2023,60 and over,17000,12500,15000
2/2023 - 4/2023,15 and over,23000,16000,20000
3/2023 - 5/2023,15 - 24,15000,14000,14600
3/2023 - 5/2023,25 - 34,22000,20000,20000
3/2023 - 5/2023,35 - 44,28000,17000,21500
